Title,Rating,Votes,Duration,Genre
Sins of the Bride,6.5,95,1h 29m,thriller
She's Obsessed with My Husband,5,247,1h 28m,thriller
Bystanders,3.9,318,1h 22m,thriller
Beezel,4.9, 1.3K,1h 21m,thriller
Blue Lock: Episode Nagi,6.6, 2.5K,1h 31m,thriller
Freelance,4.8,345,1h 50m,thriller
Restless,6.7,192,1h 29m,thriller
Rest in Peace,5.8, 2.3K,1h 45m,thriller
Curse of the Seven Oceans,5.5,435,1h 34m,thriller
Roadkill,3.7,687,1h 30m,thriller
La Patasola,2.8,39,1h 32m,thriller
Interstate,3.8,183,1h 24m,thriller
The Windigo,4.7,705,1h 25m,thriller
Unexposed,7.7,71,1h 3m,thriller
The Smile Man,7.5, 1.5K,2h 2m,thriller
Within the Pines,7.9,12,1h 13m,thriller
Junction,5.2,313,1h 38m,thriller
Hellhound,4.3,507,1h 43m,thriller
Invasion,4.8,685,1h 31m,thriller
Model House,4, 1.1K,1h 25m,thriller
Boksi Ko Ghar,7.8,932,1h 56m,thriller
Adopted,4,222,1h 23m,thriller
Grassland,8.3,62,1h 28m,thriller
Klandestin,6.1,28,2h 4m,thriller
From Embers,4.5,139,1h 39m,thriller
Stepmom from Hell,4.8,145,1h 28m,thriller
Shadow Land,3.6,462,1h 29m,thriller
Mommy Meanest,5.1,256,1h 27m,thriller
The Getaway,6.5,65,1h 26m,thriller
12 to Midnight,3.6,286,1h 36m,thriller
Bionic,4.3, 1.7K,1h 50m,thriller
Mother Father Sister Brother Frank,5.8,257,1h 25m,thriller
Visfot,5.7, 1.2K,2h 10m,thriller
The Long Game,7.3,59,1h 28m,thriller
Baki Hanma VS Kengan Ashura,5.7, 1.9K,1h 2m,thriller
Stranger in the Woods,3.5, 1.3K,1h 22m,thriller
Phir Aayi Hasseen Dillruba,5.8, 6.8K,2h 12m,thriller
Black,7.1, 2.8K,1h 55m,thriller
Temurun,4.6,340,1h 25m,thriller
Altered Reality,6.3,65,1h 39m,thriller
She Came Back,5.3,94,1h 23m,thriller
The Haunted Apartment: Miss K,6.9,108,1h 43m,thriller
The Paradise of Thorns,7.6, 1.2K,2h 11m,thriller
4PM,5.7,141,1h 51m,thriller
Guilty Pleasure,4.6,131,1h 59m,thriller
The Shameless,5.8,226,1h 54m,thriller
Belle,5.8,65,1h 40m,thriller
The School Duel,8.5,79,1h 30m,thriller
Big Rage,3.5,166,1h 55m,thriller
Le Mohican,7,158,1h 27m,thriller
Black Heat,8.5,120,1h 33m,thriller
From the Ashes,5.1, 1.2K,1h 30m,thriller
Gaami,6.4, 2K,2h 27m,thriller
The Monster Beneath Us,5.7,430,1h 43m,thriller
To a Land Unknown,7.3,510,1h 45m,thriller
Yudhra,5, 13K,2h 22m,thriller
Séance Games: Metaxu,3.3,193,1h 26m,thriller
My Nanny Stole My Life,5.4,137,TV-14,thriller
Somnium,8.5,46,1h 32m,thriller
Eagle,5.9, 4.9K,2h 39m,thriller
Star Abyss,3.8,254,1h 26m,thriller
Peg O' My Heart,6.2,136,1h 37m,thriller
Justicia artificial,5.6,471,1h 38m,thriller
